FullSampleName,cultivar,ACCID,country,ploidy,species,use,snp_calling_keep,species_keep,heterozygosity_keep,ibd_species_keep,faststructure_keep,pca_keep,domestica_keep,domestica_clones_keep,top_eight,colour_pheno,firm_pheno,size_pheno,ACP,ACNO
MalGBS_P10_G10_17996,Slava_Pobeditelyam,17996,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589550
MalGBS_P10_H10_17948,Narjadnoye_Crysmskoye,17948,Former Soviet Union,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589542
MalGBS_P10_A11_18008,Tawria,18008,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589551
MalGBS_P10_B11_21860,Keepsake,21860,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589894
MalGBS_P10_C11_3025,Nittany,3025,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,large,PI,588810
MalGBS_P10_D11_17470,Novosibirski_Sweet,17470,NA,NA,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,589478
MalGBS_P10_E11_2937,Chisel_Jersey,2937,United Kingdom,2x,domestica,Cider,1,1,1,1,1,1,1,1,0,red,firm,large,PI,588806
MalGBS_P10_F11_18807,Beauty_of_Bath,18807,England,NA,domestica,Other,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589664
MalGBS_P10_G11_199435,Trebu_Seklandzis,199435,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,262966
MalGBS_P10_H11_132333,Lord_Hindlip,132333,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,123746
MalGBS_P10_A12_17716,Severny_Sinap_K-21.39,17716,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589511
MalGBS_P10_B12_86630,Slor,86630,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613832
MalGBS_P10_C12_325854,A236/1,325854,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,430889
MalGBS_P10_D12_18058,Crymus,18058,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589559
MalGBS_P10_E12_3271,Wayne,3271,NA,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588820
MalGBS_P10_F12_2152,Monroe,2152,United States,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588772
MalGBS_P10_G12_19105,Kingston_Black,19105,NA,2x,domestica,Cider,1,1,1,1,1,1,1,1,0,NA,soft,small,PI,589703
MalGBS_P10_H12_18705,Northwood,18705,United Kingdom,2x,domestica,Cider,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589647
MalGBS_P11_A01_17995,Eurika,17995,Ukraine,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589549
MalGBS_P11_B01_15660,Quinte,15660,Canada,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589358
MalGBS_P11_C01_8535,Salome,8535,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,small,PI,589083
MalGBS_P11_D01_24956,Wijcik_McIntosh,24956,NA,NA,domestica,Other,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,590186
MalGBS_P11_E01_6943,Spokane_Beauty,6943,United States,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589006
MalGBS_P11_F01_21293,Smith_Jonathan,21293,United States,4x,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589845
MalGBS_P11_G01_13069,Redspur_Delicious,13069,United States,NA,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589255
MalGBS_P11_H01_22380,Petrel,22380,United States,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,soft,large,PI,589970
MalGBS_P11_A02_24950,Jonathan,24950,United States,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,590185
MalGBS_P11_B02_22322,Jonafree,22322,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589962
MalGBS_P11_C02_128321,Irish_Peach,128321,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,small,PI,104727
MalGBS_P11_D02_132355,Emilia,132355,Canada,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,small,PI,123989
MalGBS_P11_E02_24941,Dayton,24941,United States,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,590183
MalGBS_P11_F02_6738,Antonovka_Kamenichka,6738,Former Soviet Union,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,soft,large,PI,588995
MalGBS_P11_G02_128736,Antonovka_1.5_pounds,128736,Former Soviet Union,NA,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,107196
MalGBS_P11_H02_22288,Antonovka_172670-B,22288,NA,NA,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589956
MalGBS_P11_A03_331994,M.13,331994,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,437058
MalGBS_P11_B03_17984,Novinka,17984,Former Soviet Union,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589547
MalGBS_P11_C03_3048,MM.102,3048,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,small,PI,588811
MalGBS_P11_D03_3445,Trusevitch_I-48-41,3445,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,large,PI,588828
MalGBS_P11_E03_331982,P.22,331982,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,437046
MalGBS_P11_F03_3647,Beautiful_Arcade,3647,Russia,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,588839
MalGBS_P11_G03_17918,Jadernicka,17918,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589537
MalGBS_P11_H03_546414,Bedan_des_parts,546414,NA,2x,domestica,Cider,1,1,1,1,1,1,1,1,0,green,firm,small,PI,123733
MalGBS_P11_A04_2470,Esopus_Spitzenburg,2470,United States,2x,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588785
MalGBS_P11_B04_2429,Stark_Earliest,2429,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588783
MalGBS_P11_C04_2752,Winesap,2752,NA,2x,domestica,Cider,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,588799
MalGBS_P11_D04_18890,Winston,18890,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589675
MalGBS_P11_E04_18270,Belle_de_Nordhaussen,18270,Germany,2x,domestica,Other,1,1,1,1,1,1,1,1,0,green,soft,small,PI,589584
MalGBS_P11_F04_22019,Korallo,22019,Netherlands,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589919
MalGBS_P11_G04_294441,Mayqueen,294441,NA,2x,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,392305
MalGBS_P11_H04_168806,Korei,168806,Japan,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,small,PI,199527
MalGBS_P11_A05_258947,Kokko_strain_2,258947,NA,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,347268
MalGBS_P11_B05_17484,Westland,17484,NA,3x,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589480
MalGBS_P11_C05_94238,Mal't_Bagaevskii,94238,NA,2x,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613950
MalGBS_P11_D05_134395,Glockenapfel,134395,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,green,firm,large,PI,134808
MalGBS_P11_E05_610641,Brazil,610641,Brazil,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,632623
MalGBS_P11_F05_610642,BR-1,610642,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,firm,large,PI,632624
MalGBS_P11_G05_17171,Elstar,17171,Netherlands,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589440
MalGBS_P11_H05_21821,Beverly_Hills,21821,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589886
MalGBS_P11_A06_189941,Cox's_Orange,189941,Denmark,NA,domestica,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,247021
MalGBS_P11_B06_133186,Laxton's_Fortune,133186,United Kingdom,NA,domestica,Other,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,127009
MalGBS_P11_C06_17483,Ottawa_271,17483,Canada,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,small,PI,589479
MalGBS_P11_D06_19073,Captain_Kidd,19073,New Zealand,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589698
