PC	eigenvalue	proportion of total	cumulative proportion
284	4.53715	7.9671E-4	0.72385
285	4.52306	7.9424E-4	0.72465
286	4.51417	7.9268E-4	0.72544
287	4.49187	7.8876E-4	0.72623
288	4.47721	7.8619E-4	0.72701
289	4.47381	7.8559E-4	0.7278
290	4.44811	7.8108E-4	0.72858
291	4.44469	7.8048E-4	0.72936
292	4.41645	7.7552E-4	0.73014
293	4.39868	7.724E-4	0.73091
294	4.39792	7.7226E-4	0.73168
295	4.38887	7.7068E-4	0.73245
296	4.3726	7.6782E-4	0.73322
297	4.36395	7.663E-4	0.73399
298	4.3544	7.6462E-4	0.73475
299	4.34672	7.6327E-4	0.73551
300	4.32073	7.5871E-4	0.73627
301	4.30873	7.566E-4	0.73703
302	4.299	7.5489E-4	0.73778
303	4.29097	7.5349E-4	0.73854
304	4.26372	7.487E-4	0.73929
305	4.25184	7.4661E-4	0.74003
306	4.24735	7.4582E-4	0.74078
307	4.2373	7.4406E-4	0.74152
308	4.23336	7.4337E-4	0.74227
309	4.20864	7.3903E-4	0.743
310	4.20704	7.3875E-4	0.74374
311	4.1927	7.3623E-4	0.74448
312	4.17676	7.3343E-4	0.74521
313	4.15276	7.2921E-4	0.74594
314	4.152	7.2908E-4	0.74667
315	4.1477	7.2833E-4	0.7474
316	4.12094	7.2363E-4	0.74812
317	4.11107	7.2189E-4	0.74884
318	4.09657	7.1935E-4	0.74956
319	4.08858	7.1795E-4	0.75028
320	4.07032	7.1474E-4	0.751
321	4.05131	7.114E-4	0.75171
322	4.046	7.1047E-4	0.75242
323	4.03211	7.0803E-4	0.75313
324	4.02437	7.0667E-4	0.75383
325	4.02244	7.0633E-4	0.75454
326	4.01499	7.0502E-4	0.75524
327	4.00015	7.0242E-4	0.75595
328	3.99004	7.0064E-4	0.75665
329	3.97257	6.9757E-4	0.75735
330	3.95857	6.9512E-4	0.75804
331	3.95124	6.9383E-4	0.75873
332	3.93785	6.9148E-4	0.75943
333	3.92736	6.8964E-4	0.76012
334	3.92188	6.8867E-4	0.7608
335	3.9095	6.865E-4	0.76149
336	3.89755	6.844E-4	0.76218
337	3.88213	6.8169E-4	0.76286
338	3.87341	6.8016E-4	0.76354
339	3.86854	6.7931E-4	0.76422
340	3.84638	6.7542E-4	0.76489
341	3.8389	6.741E-4	0.76557
342	3.83256	6.7299E-4	0.76624
343	3.82232	6.7119E-4	0.76691
344	3.81451	6.6982E-4	0.76758
345	3.8092	6.6889E-4	0.76825
346	3.79296	6.6604E-4	0.76891
347	3.78823	6.6521E-4	0.76958
348	3.7844	6.6453E-4	0.77024
349	3.77464	6.6282E-4	0.77091
350	3.76233	6.6066E-4	0.77157
351	3.74672	6.5792E-4	0.77223
352	3.74563	6.5772E-4	0.77288
353	3.72542	6.5418E-4	0.77354
354	3.72156	6.535E-4	0.77419
355	3.71195	6.5181E-4	0.77484
356	3.70193	6.5005E-4	0.77549
357	3.68558	6.4718E-4	0.77614
358	3.67711	6.4569E-4	0.77679
359	3.67685	6.4565E-4	0.77743
360	3.67191	6.4478E-4	0.77808
361	3.66402	6.4339E-4	0.77872
362	3.64464	6.3999E-4	0.77936
363	3.63744	6.3873E-4	0.78
364	3.62311	6.3621E-4	0.78063
365	3.61945	6.3557E-4	0.78127
366	3.61111	6.341E-4	0.7819
367	3.60024	6.3219E-4	0.78254
368	3.59513	6.313E-4	0.78317
369	3.58933	6.3028E-4	0.7838
370	3.57264	6.2735E-4	0.78443
371	3.56957	6.2681E-4	0.78505
372	3.5682	6.2657E-4	0.78568
373	3.55383	6.2404E-4	0.7863
374	3.54238	6.2203E-4	0.78692
375	3.53725	6.2113E-4	0.78755
376	3.53101	6.2004E-4	0.78817
377	3.5255	6.1907E-4	0.78879
378	3.5158	6.1737E-4	0.7894
379	3.51004	6.1636E-4	0.79002
380	3.49507	6.1373E-4	0.79063
381	3.48573	6.1209E-4	0.79124
382	3.47703	6.1056E-4	0.79186
383	3.47129	6.0955E-4	0.79246
384	3.45909	6.0741E-4	0.79307
385	3.44507	6.0495E-4	0.79368
386	3.43717	6.0356E-4	0.79428
387	3.43378	6.0296E-4	0.79488
388	3.42618	6.0163E-4	0.79549
389	3.41359	5.9942E-4	0.79608
390	3.4105	5.9888E-4	0.79668
391	3.39711	5.9652E-4	0.79728
392	3.39015	5.953E-4	0.79788
393	3.38289	5.9403E-4	0.79847
394	3.38057	5.9362E-4	0.79906
395	3.37063	5.9188E-4	0.79965
396	3.36398	5.9071E-4	0.80025
397	3.35728	5.8953E-4	0.80084
398	3.35286	5.8876E-4	0.80142
399	3.34081	5.8664E-4	0.80201
400	3.3297	5.8469E-4	0.8026
401	3.325	5.8386E-4	0.80318
402	3.32034	5.8304E-4	0.80376
403	3.31541	5.8218E-4	0.80434
404	3.30792	5.8086E-4	0.80493
405	3.30336	5.8006E-4	0.80551
406	3.29367	5.7836E-4	0.80608
407	3.28321	5.7652E-4	0.80666
408	3.2798	5.7592E-4	0.80724
409	3.26477	5.7329E-4	0.80781
410	3.26288	5.7295E-4	0.80838
411	3.25309	5.7123E-4	0.80895
412	3.2475	5.7025E-4	0.80952
413	3.23724	5.6845E-4	0.81009
414	3.22389	5.6611E-4	0.81066
415	3.21943	5.6532E-4	0.81122
416	3.21585	5.647E-4	0.81179
417	3.20017	5.6194E-4	0.81235
418	3.19685	5.6136E-4	0.81291
419	3.18923	5.6002E-4	0.81347
420	3.18552	5.5937E-4	0.81403
421	3.18356	5.5903E-4	0.81459
422	3.17755	5.5797E-4	0.81515
423	3.16712	5.5614E-4	0.8157
424	3.16334	5.5547E-4	0.81626
425	3.15798	5.5453E-4	0.81681
426	3.152	5.5348E-4	0.81737
427	3.14809	5.528E-4	0.81792
428	3.13928	5.5125E-4	0.81847
429	3.13206	5.4998E-4	0.81902
430	3.12259	5.4832E-4	0.81957
431	3.11843	5.4759E-4	0.82012
432	3.11419	5.4685E-4	0.82066
433	3.10199	5.447E-4	0.82121
434	3.09948	5.4426E-4	0.82175
435	3.09143	5.4285E-4	0.8223
436	3.08281	5.4133E-4	0.82284
437	3.07675	5.4027E-4	0.82338
438	3.06969	5.3903E-4	0.82392
439	3.06693	5.3855E-4	0.82446
440	3.05359	5.362E-4	0.82499
441	3.04989	5.3555E-4	0.82553
442	3.04304	5.3435E-4	0.82606
443	3.04153	5.3409E-4	0.8266
444	3.03637	5.3318E-4	0.82713
445	3.02912	5.3191E-4	0.82766
446	3.02609	5.3137E-4	0.82819
447	3.02385	5.3098E-4	0.82872
448	3.01341	5.2915E-4	0.82925
449	3.00468	5.2762E-4	0.82978
450	3.00101	5.2697E-4	0.83031
451	2.99744	5.2634E-4	0.83083
452	2.99331	5.2562E-4	0.83136
453	2.98069	5.234E-4	0.83188
454	2.97841	5.23E-4	0.83241
455	2.97075	5.2166E-4	0.83293
456	2.96156	5.2004E-4	0.83345
457	2.95513	5.1891E-4	0.83397
458	2.95312	5.1856E-4	0.83448
459	2.94643	5.1739E-4	0.835
460	2.94413	5.1698E-4	0.83552
461	2.93824	5.1595E-4	0.83603
462	2.93628	5.156E-4	0.83655
463	2.92405	5.1346E-4	0.83706
464	2.9151	5.1189E-4	0.83758
465	2.91055	5.1109E-4	0.83809
466	2.90123	5.0945E-4	0.8386
467	2.90059	5.0934E-4	0.83911
468	2.89329	5.0805E-4	0.83961
469	2.88833	5.0718E-4	0.84012
470	2.88406	5.0643E-4	0.84063
471	2.87752	5.0529E-4	0.84113
472	2.86616	5.0329E-4	0.84164
473	2.86442	5.0299E-4	0.84214
474	2.86171	5.0251E-4	0.84264
475	2.84915	5.003E-4	0.84314
476	2.8462	4.9979E-4	0.84364
477	2.83786	4.9832E-4	0.84414
478	2.83397	4.9764E-4	0.84464
479	2.82987	4.9692E-4	0.84513
480	2.82612	4.9626E-4	0.84563
481	2.81826	4.9488E-4	0.84613
482	2.81227	4.9383E-4	0.84662
483	2.80987	4.9341E-4	0.84711
484	2.80458	4.9248E-4	0.84761
485	2.80218	4.9206E-4	0.8481
486	2.79205	4.9028E-4	0.84859
487	2.78735	4.8945E-4	0.84908
488	2.78477	4.89E-4	0.84957
489	2.77767	4.8775E-4	0.85005
490	2.77614	4.8748E-4	0.85054
491	2.77157	4.8668E-4	0.85103
492	2.76229	4.8505E-4	0.85151
493	2.7594	4.8454E-4	0.852
494	2.75493	4.8376E-4	0.85248
495	2.74844	4.8262E-4	0.85296
496	2.74281	4.8163E-4	0.85345
497	2.73947	4.8104E-4	0.85393
498	2.73422	4.8012E-4	0.85441
499	2.72754	4.7895E-4	0.85489
500	2.72407	4.7834E-4	0.85536
501	2.71881	4.7742E-4	0.85584
502	2.71251	4.7631E-4	0.85632
503	2.70558	4.7509E-4	0.85679
504	2.70394	4.7481E-4	0.85727
505	2.69591	4.7339E-4	0.85774
506	2.69264	4.7282E-4	0.85821
507	2.68638	4.7172E-4	0.85869
508	2.68188	4.7093E-4	0.85916
509	2.67383	4.6952E-4	0.85963
510	2.66963	4.6878E-4	0.86009
511	2.66685	4.6829E-4	0.86056
512	2.66526	4.6801E-4	0.86103
513	2.65658	4.6649E-4	0.8615
514	2.65473	4.6617E-4	0.86196
515	2.65157	4.6561E-4	0.86243
516	2.64514	4.6448E-4	0.86289
517	2.63954	4.635E-4	0.86336
518	2.63513	4.6272E-4	0.86382
519	2.62938	4.6171E-4	0.86428
520	2.62421	4.6081E-4	0.86474
521	2.62112	4.6026E-4	0.8652
522	2.61591	4.5935E-4	0.86566
523	2.61286	4.5881E-4	0.86612
524	2.60931	4.5819E-4	0.86658
