apple_id,PLANTID,usda_ploidy,het,ploidy
301,KAR 107,NA,0.3657272279291915,2x
302,KAR 85,NA,0.4737595238997764,3x
304,KAR 83,NA,0.36871233084416816,2x
305,KAR 95,NA,0.33624578294985025,2x
306,KAR 89,NA,0.3702096205602517,2x
307,KAR 84,NA,0.5497611917668018,3x
310,KAS 70,NA,0.3363784541905159,2x
311,KAR 81,NA,0.3004055949357492,2x
313,KAS 64,NA,0.36435313293658317,2x
314,KAS 56,NA,0.4763087070239945,3x
315,KAR 51,NA,0.3247602441150828,2x
317,KAR 98,NA,0.3346347750274819,2x
324,KAR 111,NA,0.3736401197831773,2x
325,KAS 42,NA,0.43075508888973124,3x
326,Evangeline,NA,0.3628463667033092,2x
327,KAR 35,NA,0.3667317387513741,2x
328,KAS 39,NA,0.3693946400818771,2x
329,KAR 52,NA,0.37165952769038324,2x
330,KAR 92,NA,0.33136537659679316,2x
331,KAS 48,NA,0.34520109169478036,2x
332,KAS 44,NA,0.3579185777643001,2x
334,KAS 41,NA,0.275235965278041,2x
339,KAR 16,NA,0.5282779272961601,3x
342,KAS 20,NA,0.3476744626814753,2x
343,KAS 6,NA,0.3286171866115765,2x
345,KAR 33,NA,0.31893218604298545,2x
348,KAR 37,NA,0.3676699139532239,2x
349,KAR 15,NA,0.3038550471930556,2x
350,KAR 24,NA,0.39015768924604827,2x
353,KAS 45,NA,0.3007467495546037,2x
355,KAS 19,NA,0.30968310526515297,2x
356,KAR 25,NA,0.3549808574352754,2x
357,Heart of Gold,NA,0.3589799476896251,2x
358,Black Pearl,NA,0.36043933133694706,2x
359,KAR 26,NA,0.5300310829763846,3x
360,KAS 7,NA,0.36171866115765133,2x
363,KAR 14,NA,0.31799401084113565,2x
365,Circassian Apple,NA,0.3003203062810356,2x
366,Bulmer Norman,3x,0.4527785148402259,3x
367,Collins June,NA,0.3594158674803836,2x
368,Amri,NA,0.3511807740419241,2x
369,Dudley,NA,0.3631780448049733,2x
373,C.P. Close,NA,0.34033963837610404,2x
374,Bisbee,NA,0.3498256320836966,2x
375,Dekkers Glorie,2x,0.3423107539517077,2x
376,Early Bird Red,NA,0.35658238884045335,2x
377,Ballyfatten,NA,0.36634320154656763,2x
380,Colby Baldwin,NA,0.46687009590235395,3x
381,Carola,NA,0.34956028960236535,2x
382,Democrat,NA,0.38950380955991054,2x
383,Black Crofton,NA,0.364608998900724,2x
384,Chenango Strawberry,NA,0.3546776088851825,2x
385,Bonum,NA,0.3833156438345779,2x
386,Coombs Wealthy,4x,0.4210321822523786,2x
387,Charles Ross,NA,0.32871195178348056,2x
388,Belle Imperiale,2x,0.34972139039460215,2x
389,Bonza,NA,0.3521379022781547,2x
390,Aargauer Jubilaums,NA,0.4795022933171601,3x
391,Blauacher,NA,0.35967173344452447,2x
393,Directeur Lesage,NA,0.3597475455820477,2x
394,American Summer Pearmain,NA,0.3745593419506463,2x
395,Alton,NA,0.3629032258064516,2x
396,Crow Egg,2x,0.37307152875175315,2x
397,Bushy Grove,NA,0.3902619309351427,2x
398,Carroll,NA,0.3957298813540048,2x
399,Cleopatra,NA,0.36522497251810015,2x
