apple_id,PLANTID,ploidy,usda_ploidy,het,release_year,acidity_17_harv,brix_17_harv,brix_acid_17_harv,weight_avg_17_harv,firmness_avg_17_harv,percent_firmness_avg_17,tpc,flowering_jul_16_harv,time_ripen_2017,date_jul_17_harv
484,Camuzat,2x,2x,0.37661574618096355,NA,7.0083142313742099,13.062199453361201,1.8365737184981701,162.77771483722199,8.9878336825079099,NA,NA,161.11293180034201,120.191044177189,281.26431426233398
583,Canada Grise,3x,NA,0.49169857094120767,NA,12.432607932998801,12.715523733811001,1.0763793401978601,311.97757843894402,10.0103868756844,-61.819657447168403,NA,154.005770996237,124.70069329012399,278.59880280014602
453,Canavial-14,3x,3x,0.5026629013305031,NA,11.0734784978054,11.796503049861601,1.17294589615955,273.79078817685701,9.8086561215549004,-46.220971205138,4.6617466529279197,153.45084371977501,129.54232336885201,282.51698191264398
577,Cannonball,2x,NA,0.35488609226337137,NA,9.3734651603118202,13.2835007825344,1.4305872366321399,140.44770730209399,7.34801701398791,NA,NA,152.20660303806801,102.20118452176401,254.24113361529399
433,Captain Kidd,2x,NA,0.37437928812402865,1969,6.5369637324178198,11.6142732937837,1.8090162283423901,226.25077883818901,8.5750891405681102,-36.4578034037905,3.0007412781331002,152.85822837765201,111.30588624068901,264.28392543013399
485,Caravel,2x,NA,0.3494844774648421,1964,6.7566386910438103,9.50085211596266,1.38758274060432,117.27734346893099,5.8943760051844896,-39.905428549444402,NA,149.89126212142,82.245111219254895,229.21983347010399
381,Carola,2x,NA,0.34956028960236535,NA,5.4917957032108298,9.9258753038007193,1.77176960195525,115.641008681416,8.2698312082274299,NA,NA,154.39403821723599,108.451476991878,260.48922928722698
398,Carroll,2x,NA,0.3957298813540048,1961,6.1439856114164604,11.649308680653601,1.86867068872998,166.21126598751701,5.9334725412485199,-66.592918628676998,NA,151.07861117965001,89.971141580666796,240.08161700885901
502,Cartigny,3x,3x,0.4851123914938782,NA,NA,NA,NA,NA,NA,NA,9.1605171771407097,160.986220995678,NA,NA
178,Casa Nova de Alco Baca-9,2x,NA,0.3573405102156855,NA,2.2735739554443102,10.673634162790799,4.9063466258431196,123.430912394711,9.2624531354555302,-47.307695611245101,3.5593166684457098,154.19578818776299,113.753176565621,267.754454309045
14,CBR 4T 29,2x,NA,0.38181835411849435,NA,4.8940386910438098,10.0508521159627,2.1976242170728502,192.73234346893099,9.6603760051844798,-17.980418197514101,4.8835802650703002,153.04044425450101,121.677797426361,274.71983347010399
489,Champagne Reinette,2x,NA,0.3601739888556158,NA,11.175284239143799,11.725803795226099,1.0077780713175499,160.599599224093,10.033208560926001,-40.517532713889999,5.3740744542458403,154.08530662187599,133.89848350612399,288.02796779245801
