 FID  IID       O(HOM)       E(HOM)        N(NM)            F
 305  305        70042     6.29e+04       105524       0.1676
 306  306        66458     6.29e+04       105524      0.08349
 307  307        47511     6.29e+04       105524       -0.361
 310  310        70028     6.29e+04       105524       0.1672
 311  311        73824     6.29e+04       105524       0.2563
 313  313        67076     6.29e+04       105524      0.09799
 314  314        55262     6.29e+04       105524      -0.1792
 315  315        71254     6.29e+04       105524        0.196
 317  317        70212     6.29e+04       105524       0.1716
 324  324        66096     6.29e+04       105524        0.075
 325  325        60069     6.29e+04       105524      -0.0664
 326  326        67235     6.29e+04       105524       0.1017
 327  327        66825     6.29e+04       105524       0.0921
 328  328        66544     6.29e+04       105524      0.08551
 329  329        66305     6.29e+04       105524       0.0799
 330  330        70557     6.29e+04       105524       0.1797
 331  331        69097     6.29e+04       105524       0.1454
 332  332        67755     6.29e+04       105524       0.1139
 334  334        76480     6.29e+04       105524       0.3186
 339  339        49778     6.29e+04       105524      -0.3078
 342  342        68836     6.29e+04       105524       0.1393
 343  343        70847     6.29e+04       105524       0.1865
 345  345        71869     6.29e+04       105524       0.2104
 348  348        66726     6.29e+04       105524      0.08978
 349  349        73460     6.29e+04       105524       0.2478
 350  350        64353     6.29e+04       105524       0.0341
 353  353        73788     6.29e+04       105524       0.2555
 355  355        72845     6.29e+04       105524       0.2333
 356  356        68065     6.29e+04       105524       0.1212
 357  357        67643     6.29e+04       105524       0.1113
 358  358        67489     6.29e+04       105524       0.1077
 359  359        49593     6.29e+04       105524      -0.3122
 360  360        67354     6.29e+04       105524       0.1045
 363  363        71968     6.29e+04       105524       0.2128
 365  365        73833     6.29e+04       105524       0.2565
 366  366        57745     6.29e+04       105524      -0.1209
 367  367        67597     6.29e+04       105524       0.1102
 368  368        68466     6.29e+04       105524       0.1306
 369  369        67200     6.29e+04       105524       0.1009
 373  373        69610     6.29e+04       105524       0.1574
 374  374        68609     6.29e+04       105524        0.134
 375  375        69402     6.29e+04       105524       0.1526
 376  376        67896     6.29e+04       105524       0.1172
 377  377        66866     6.29e+04       105524      0.09306
 380  380        56258     6.29e+04       105524      -0.1558
 381  381        68637     6.29e+04       105524       0.1346
 382  382        64422     6.29e+04       105524      0.03572
 383  383        67049     6.29e+04       105524      0.09735
 384  384        68097     6.29e+04       105524       0.1219
 385  385        65075     6.29e+04       105524      0.05104
 386  386        61095     6.29e+04       105524     -0.04233
 387  387        70837     6.29e+04       105524       0.1862
 388  388        68620     6.29e+04       105524       0.1342
 389  389        68365     6.29e+04       105524       0.1282
 390  390        54925     6.29e+04       105524      -0.1871
 391  391        67570     6.29e+04       105524       0.1096
 393  393        67562     6.29e+04       105524       0.1094
 394  394        65999     6.29e+04       105524      0.07272
 395  395        67229     6.29e+04       105524       0.1016
 396  396        66156     6.29e+04       105524       0.0764
 397  397        64342     6.29e+04       105524      0.03385
 398  398        63765     6.29e+04       105524      0.02031
 399  399        66984     6.29e+04       105524      0.09583
 400  400        39839     6.29e+04       105524       -0.541
 401  401        65490     6.29e+04       105524      0.06078
 402  402        71655     6.29e+04       105524       0.2054
 403  403        66692     6.29e+04       105524      0.08898
 404  404        68450     6.29e+04       105524       0.1302
 405  405        66305     6.29e+04       105524       0.0799
 406  406        53336     6.29e+04       105524      -0.2244
 407  407        54026     6.29e+04       105524      -0.2082
 408  408        69320     6.29e+04       105524       0.1506
 409  409        69030     6.29e+04       105524       0.1438
 410  410        69868     6.29e+04       105524       0.1635
 411  411        79883     6.29e+04       105524       0.3984
 412  412        72654     6.29e+04       105524       0.2289
 413  413        69644     6.29e+04       105524       0.1582
 414  414        67733     6.29e+04       105524       0.1134
 417  417        68066     6.29e+04       105524       0.1212
 418  418        66542     6.29e+04       105524      0.08546
 419  419        69997     6.29e+04       105524       0.1665
 421  421        69563     6.29e+04       105524       0.1563
 422  422        71749     6.29e+04       105524       0.2076
 423  423        65387     6.29e+04       105524      0.05836
 424  424        57410     6.29e+04       105524      -0.1288
 425  425        54632     6.29e+04       105524       -0.194
 426  426        64200     6.29e+04       105524      0.03051
 427  427        71123     6.29e+04       105524       0.1929
 428  428        67290     6.29e+04       105524        0.103
 429  429        69187     6.29e+04       105524       0.1475
 430  430        69498     6.29e+04       105524       0.1548
 431  431        61746     6.29e+04       105524     -0.02706
 432  432        63659     6.29e+04       105524      0.01782
 433  433        66018     6.29e+04       105524      0.07317
 434  434        70819     6.29e+04       105524       0.1858
 435  435        72021     6.29e+04       105524        0.214
 436  436        70495     6.29e+04       105524       0.1782
 437  437        67644     6.29e+04       105524       0.1113
 438  438        74473     6.29e+04       105524       0.2715
 439  439        34909     6.29e+04       105524      -0.6567
 440  440        67627     6.29e+04       105524       0.1109
 441  441        68967     6.29e+04       105524       0.1424
 442  442        69149     6.29e+04       105524       0.1466
 443  443        68241     6.29e+04       105524       0.1253
 444  444        65554     6.29e+04       105524      0.06228
 445  445        66981     6.29e+04       105524      0.09576
 446  446        73132     6.29e+04       105524       0.2401
 447  447        69722     6.29e+04       105524       0.1601
 448  448        68635     6.29e+04       105524       0.1346
 449  449        66766     6.29e+04       105524      0.09071
 450  450        66716     6.29e+04       105524      0.08954
 451  451        71596     6.29e+04       105524        0.204
 452  452        70251     6.29e+04       105524       0.1725
 453  453        52481     6.29e+04       105524      -0.2444
 454  454        65714     6.29e+04       105524      0.06603
 455  455        54923     6.29e+04       105524      -0.1871
 456  456        64116     6.29e+04       105524      0.02854
 457  457        70182     6.29e+04       105524       0.1709
 458  458        69896     6.29e+04       105524       0.1641
 459  459        68910     6.29e+04       105524        0.141
 460  460        53658     6.29e+04       105524      -0.2168
 461  461        71693     6.29e+04       105524       0.2063
 462  462        69414     6.29e+04       105524       0.1528
 463  463        66560     6.29e+04       105524      0.08588
 464  464        53006     6.29e+04       105524      -0.2321
 465  465        66409     6.29e+04       105524      0.08234
 466  466        66838     6.29e+04       105524       0.0924
 467  467        54722     6.29e+04       105524      -0.1918
 468  468        67856     6.29e+04       105524       0.1163
 469  469        66714     6.29e+04       105524      0.08949
 471  471        70892     6.29e+04       105524       0.1875
 472  472        57973     6.29e+04       105524      -0.1156
 473  473        57639     6.29e+04       105524      -0.1234
 474  474        69504     6.29e+04       105524       0.1549
 475  475        68059     6.29e+04       105524        0.121
 476  476        51048     6.29e+04       105524       -0.278
 477  477        69033     6.29e+04       105524       0.1439
 478  478        65527     6.29e+04       105524      0.06165
 480  480        66808     6.29e+04       105524       0.0917
 481  481        67398     6.29e+04       105524       0.1055
 482  482        57329     6.29e+04       105524      -0.1307
 483  483        67833     6.29e+04       105524       0.1157
 484  484        65782     6.29e+04       105524      0.06763
 485  485        68645     6.29e+04       105524       0.1348
 486  486        56617     6.29e+04       105524      -0.1474
 487  487        62568     6.29e+04       105524    -0.007773
 489  489        67517     6.29e+04       105524       0.1083
 490  490        70218     6.29e+04       105524       0.1717
 491  491        66862     6.29e+04       105524      0.09297
 492  492        43855     6.29e+04       105524      -0.4468
 493  493        70199     6.29e+04       105524       0.1713
 494  494        69758     6.29e+04       105524       0.1609
 495  495        69613     6.29e+04       105524       0.1575
 496  496        71848     6.29e+04       105524       0.2099
 499  499        52531     6.29e+04       105524      -0.2432
 500  500        67771     6.29e+04       105524       0.1143
 501  501        68946     6.29e+04       105524       0.1419
 502  502        54333     6.29e+04       105524       -0.201
 503  503        67832     6.29e+04       105524       0.1157
 504  504        69976     6.29e+04       105524        0.166
 505  505        68351     6.29e+04       105524       0.1279
 506  506        66958     6.29e+04       105524      0.09522
 507  507        67117     6.29e+04       105524      0.09895
 508  508        68392     6.29e+04       105524       0.1289
 510  510        54698     6.29e+04       105524      -0.1924
 511  511        68908     6.29e+04       105524        0.141
